placeDcid,placeName,Date:Area_FloodEvent,Value:Area_FloodEvent,Source:Area_FloodEvent
wikidataId/Q1626524,Christ Church,2022-08,4.841,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2022-10,0.968,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2022-11,2.905,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2022-12,3.873,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2023-01,4.842,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2023-02,5.81,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2023-03,4.841,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2023-04,1.937,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2023-05,2.905,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2023-06,3.873,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2023-07,3.873,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2023-08,2.905,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2023-09,0.968,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2023-10,2.905,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2023-11,4.842,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2023-12,1.937,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2024-01,5.81,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2024-02,7.746,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2024-03,3.873,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2024-05,2.905,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2024-06,3.873,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2024-07,3.873,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2024-08,1.937,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2024-10,4.841,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2024-11,3.873,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2024-12,3.873,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626540,Saint John,2018-09,0.968,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626540,Saint John,2023-12,0.968,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1647447,Saint Lucy,2016-03,0.967,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1647447,Saint Lucy,2018-03,0.967,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1647447,Saint Lucy,2018-11,0.967,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1647447,Saint Lucy,2019-10,0.967,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1647447,Saint Lucy,2020-02,0.967,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1647447,Saint Lucy,2020-12,0.967,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1647447,Saint Lucy,2021-02,0.967,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1647447,Saint Lucy,2021-09,0.967,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1647447,Saint Lucy,2022-02,0.967,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1647447,Saint Lucy,2022-12,0.967,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1647447,Saint Lucy,2023-10,0.967,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1647447,Saint Lucy,2023-11,0.967,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1647447,Saint Lucy,2024-03,0.967,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1647447,Saint Lucy,2024-11,0.967,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1647447,Saint Lucy,2024-12,0.967,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q932723,Saint Peter,2018-02,0.967,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q932723,Saint Peter,2020-10,0.967,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q932723,Saint Peter,2022-12,0.967,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q932723,Saint Peter,2024-10,0.967,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
